what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396466975915
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396466975915
java.vm.specification.version,sysinfo,,,"1.7",1396466975915
java.vm.vendor,sysinfo,,,"Oracle Corporation",1396466975915
java.vm.version,sysinfo,,,"23.25-b01",1396466975915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467005993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467031552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1396467031563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1396467031563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467039509
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1396467047034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467049487
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1396467054550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467054762
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1396467054802
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1396467054813
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1396467054838
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1396467054854
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1396467054875
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1396467054887
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1396467054889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467179691
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1396467179705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467185217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467186355
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396467186533
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1396467187925
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1396467187925
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1396467187925
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1396467187925
